pertanyaan 1;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;A
pertanyaan 2;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;B
pertanyaan 3;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;C
pertanyaan 4;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;D
pertanyaan 5;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;E
pertanyaan 6;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;A
pertanyaan 7;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;B
pertanyaan 8;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;C
pertanyaan 9;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;D
pertanyaan 10;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;E
pertanyaan 11;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;A
pertanyaan 12;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;B
pertanyaan 13;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;C
pertanyaan 14;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;D
pertanyaan 15;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;E
pertanyaan 16;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;A
pertanyaan 17;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;B
pertanyaan 18;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;C
pertanyaan 19;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;D
pertanyaan 20;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;E
pertanyaan 21;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;A
pertanyaan 22;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;B
pertanyaan 23;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;C
pertanyaan 24;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;D
pertanyaan 25;pilihan 1;pilihan 2;pilihan 3;pilihan 4;pilihan 5;E
